                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9124,                 3.5456,                 1.9307,                0.02143,                0.32995,                0.02013,                0.00671,                 3.1839,                    inf,                  4.481,             0.00027151,             0.00027151,             0.00027151
                      2,                 1.7395,                 2.7007,                 1.7713,                0.00015,                0.01626,                  9e-05,                  2e-05,                    nan,                    nan,                    nan,              0.0005551,              0.0005551,              0.0005551
                      3,                 1.8553,                 2.4329,                 1.8129,                0.00015,                0.01626,                  9e-05,                  2e-05,                    nan,                    nan,                    nan,             0.00083643,             0.00083643,             0.00083643
                      4,                 1.8717,                 2.5287,                 1.8296,                0.00074,                0.14394,                0.00081,                0.00016,                    nan,                    nan,                    nan,              0.0011155,              0.0011155,              0.0011155
                      5,                 1.9386,                 2.4521,                 1.9254,                0.59732,                0.00813,                0.01031,                0.00482,                 4.2682,                 4.7168,                 6.3068,              0.0013923,              0.0013923,              0.0013923
                      6,                 2.0316,                 2.4808,                 2.0291,                0.33608,                0.05075,                0.00143,                0.00036,                 3.8454,                 67.157,                 6.0603,              0.0014007,              0.0014007,              0.0014007
                      7,                 1.8257,                 2.3758,                 1.8868,                0.09003,                0.07071,                0.04521,                0.00919,                 3.0741,                 9.6193,                 3.6502,               0.001395,               0.001395,               0.001395
                      8,                 1.6669,                 2.0634,                 1.7283,                0.04558,                 0.1677,                0.02838,                0.00841,                 3.2666,                 9.0409,                 3.3394,              0.0013894,              0.0013894,              0.0013894
                      9,                 1.6424,                 1.9376,                 1.7076,                0.13146,                0.09313,                0.05962,                0.01699,                 3.0028,                 5.7681,                 2.9686,              0.0013837,              0.0013837,              0.0013837
                     10,                 1.5922,                 1.8214,                 1.6462,                0.13838,                0.33558,                0.11483,                0.04167,                  2.479,                 4.7355,                  2.419,              0.0013781,              0.0013781,              0.0013781
                     11,                 1.6376,                 1.8943,                 1.6862,                0.35277,                0.05177,                0.01979,                0.00445,                 3.0599,                  25.55,                 2.8818,              0.0013724,              0.0013724,              0.0013724
                     12,                  1.613,                 1.7816,                 1.6713,                0.19704,                0.27797,                0.14727,                0.04978,                 2.5495,                  6.934,                 2.7011,              0.0013668,              0.0013668,              0.0013668
                     13,                 1.6218,                 1.7344,                 1.6588,                0.18703,                0.37692,                 0.1817,                0.06081,                 2.3645,                 3.0066,                 2.4449,              0.0013611,              0.0013611,              0.0013611
                     14,                 1.5672,                 1.6527,                 1.6261,                  0.215,                0.39255,                0.18847,                0.05884,                 2.4664,                 3.2336,                 2.4802,              0.0013554,              0.0013554,              0.0013554
                     15,                 1.5083,                 1.5332,                 1.5639,                 0.2262,                0.27485,                0.20273,                0.06421,                 2.4057,                 3.5712,                 2.3552,              0.0013498,              0.0013498,              0.0013498
                     16,                 1.5482,                 1.5596,                 1.5733,                0.27937,                0.35718,                0.23318,                0.07933,                 2.4084,                 3.0354,                 2.2768,              0.0013441,              0.0013441,              0.0013441
                     17,                  1.551,                 1.5834,                 1.6069,                0.19627,                0.30052,                0.13103,                0.04099,                 2.6493,                 3.0041,                 2.4676,              0.0013385,              0.0013385,              0.0013385
                     18,                 1.5262,                 1.5979,                 1.5819,                0.39457,                0.44889,                0.36866,                0.13485,                 2.2408,                 2.1056,                 2.1112,              0.0013328,              0.0013328,              0.0013328
                     19,                  1.473,                 1.5358,                 1.5312,                0.26468,                0.49934,                0.31875,                0.10724,                 2.2022,                 2.2027,                 2.0529,              0.0013271,              0.0013271,              0.0013271
                     20,                 1.4878,                 1.4808,                  1.537,                0.19515,                0.31963,                0.21664,                0.08348,                 2.4928,                 3.1936,                 2.3526,              0.0013215,              0.0013215,              0.0013215
                     21,                 1.4783,                 1.5493,                 1.5607,                0.25653,                0.40926,                0.22009,                0.06351,                 2.5278,                  5.471,                 2.3572,              0.0013158,              0.0013158,              0.0013158
                     22,                 1.4617,                 1.5347,                 1.5498,                 0.3043,                0.30519,                 0.2375,                0.06518,                 2.5769,                 3.0637,                 2.2598,              0.0013102,              0.0013102,              0.0013102
                     23,                 1.5283,                 1.5423,                 1.5765,                0.41392,                0.56326,                0.40867,                0.13748,                 2.1622,                 2.5275,                 2.0093,              0.0013045,              0.0013045,              0.0013045
                     24,                 1.5033,                 1.5338,                 1.5668,                 0.3879,                0.11026,                0.04293,                0.02269,                 2.8058,                 4.5291,                 2.5293,              0.0012988,              0.0012988,              0.0012988
                     25,                 1.6486,                    1.7,                 1.6796,                0.17765,                0.50556,                0.24018,                0.08769,                 2.3758,                 2.8464,                 2.1945,              0.0012932,              0.0012932,              0.0012932
                     26,                 1.5517,                 1.6105,                 1.5879,                0.25559,                0.34514,                0.20697,                0.06936,                  2.346,                 2.7922,                 2.2094,              0.0012875,              0.0012875,              0.0012875
                     27,                 1.4595,                 1.4783,                 1.5225,                0.35955,                0.50462,                0.35109,                 0.1194,                 2.2304,                 2.5932,                 2.0332,              0.0012819,              0.0012819,              0.0012819
                     28,                 1.4038,                 1.3787,                 1.4797,                0.35715,                0.37662,                 0.3123,                0.11145,                  2.198,                 2.4876,                 2.0756,              0.0012762,              0.0012762,              0.0012762
                     29,                 1.4623,                 1.4673,                 1.5045,                0.34248,                0.41562,                0.34183,                0.12392,                 2.2605,                  2.468,                 2.1421,              0.0012706,              0.0012706,              0.0012706
                     30,                 1.4272,                 1.3734,                 1.4924,                0.38827,                0.31366,                 0.3158,                0.13011,                 2.1946,                 2.3238,                 2.1016,              0.0012649,              0.0012649,              0.0012649
                     31,                 1.4559,                 1.4399,                 1.5137,                0.30055,                0.39195,                0.28417,                0.10159,                 2.2811,                 2.4851,                 2.1852,              0.0012592,              0.0012592,              0.0012592
                     32,                 1.4295,                 1.3441,                 1.4936,                0.30808,                0.46248,                0.34172,                0.12501,                 2.3396,                 2.3869,                 2.2067,              0.0012536,              0.0012536,              0.0012536
                     33,                 1.3888,                 1.2886,                 1.4663,                0.47735,                0.35737,                0.36428,                0.13501,                 2.2528,                 2.1732,                 2.1016,              0.0012479,              0.0012479,              0.0012479
                     34,                 1.4197,                 1.3181,                 1.4757,                0.42475,                  0.444,                0.37845,                0.13708,                 2.1753,                 2.5201,                  2.005,              0.0012423,              0.0012423,              0.0012423
                     35,                 1.4008,                 1.2661,                 1.4609,                0.47664,                0.49965,                0.45361,                 0.1874,                 1.9915,                 2.1954,                 1.8165,              0.0012366,              0.0012366,              0.0012366
                     36,                 1.3315,                 1.2268,                 1.4085,                0.44989,                0.37014,                0.45925,                0.21774,                  2.124,                 2.1198,                  1.987,              0.0012309,              0.0012309,              0.0012309
                     37,                 1.4006,                 1.2692,                 1.4638,                0.47299,                0.42731,                0.41897,                0.15779,                 2.1654,                 2.5316,                 2.1102,              0.0012253,              0.0012253,              0.0012253
                     38,                 1.4852,                 1.4375,                 1.5404,                0.37899,                0.60846,                0.46511,                0.18075,                 2.2466,                 2.2751,                 2.1045,              0.0012196,              0.0012196,              0.0012196
                     39,                 1.3658,                 1.3413,                 1.4387,                0.44242,                0.41219,                0.35724,                0.12545,                 2.2863,                 2.2869,                 2.1082,               0.001214,               0.001214,               0.001214
                     40,                 1.3411,                 1.2948,                 1.4514,                0.36338,                0.54304,                0.41113,                0.15388,                 2.2348,                 2.3019,                 2.1017,              0.0012083,              0.0012083,              0.0012083
                     41,                 1.3981,                 1.3077,                 1.4572,                0.35198,                0.47114,                0.37257,                0.15572,                 2.3128,                 2.2401,                 2.1644,              0.0012026,              0.0012026,              0.0012026
                     42,                 1.4392,                 1.3221,                 1.4757,                0.51863,                0.43107,                0.46629,                0.18152,                 2.1113,                 1.8776,                 1.9981,               0.001197,               0.001197,               0.001197
